S1_A02,S2_A02,S3_A02,S4_A02,S5_A02,S6_A02,S7_A02,S8_A02
0.528,1.852,0.325,1.718,1.619,0.32,0.671,1.756
0.527,1.85,0.324,1.716,1.618,0.32,0.67,1.755
0.525,1.846,0.324,1.712,1.614,0.319,0.668,1.752
0.525,1.843,0.323,1.708,1.61,0.318,0.667,1.747
0.527,1.848,0.324,1.712,1.613,0.319,0.667,1.748
0.528,1.853,0.325,1.717,1.618,0.32,0.67,1.754
0.528,1.853,0.325,1.718,1.62,0.32,0.671,1.757
0.527,1.851,0.325,1.716,1.618,0.32,0.67,1.755
0.525,1.845,0.324,1.712,1.614,0.319,0.668,1.752
0.525,1.843,0.323,1.708,1.61,0.318,0.666,1.746
0.526,1.846,0.324,1.711,1.611,0.318,0.667,1.746
0.528,1.851,0.325,1.715,1.617,0.32,0.669,1.753
0.528,1.852,0.325,1.717,1.619,0.32,0.67,1.756
0.527,1.85,0.325,1.716,1.617,0.32,0.67,1.755
0.526,1.847,0.324,1.715,1.616,0.319,0.669,1.753
0.527,1.85,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.849,0.324,1.714,1.616,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.849,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.849,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.849,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.753
0.527,1.849,0.324,1.714,1.615,0.319,0.669,1.753
0.527,1.849,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.753
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.849,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.849,0.324,1.715,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.753
0.527,1.849,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.753
0.527,1.849,0.324,1.715,1.616,0.319,0.669,1.753
0.527,1.849,0.324,1.715,1.616,0.319,0.669,1.753
0.527,1.849,0.324,1.715,1.616,0.319,0.669,1.753
0.528,1.849,0.324,1.715,1.615,0.319,0.669,1.753
0.527,1.848,0.324,1.715,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.847,0.324,1.714,1.614,0.319,0.669,1.752
0.527,1.847,0.324,1.714,1.615,0.319,0.669,1.752
0.527,1.848,0.324,1.714,1.615,0.319,0.669,1.753
