S1_C0302,S2_C0302,S3_C0302,S4_C0302,S5_C0302,S6_C0302,S7_C0302,S8_C0302
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.461
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.461
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.461
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.461
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.461
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.461
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.461
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.461
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.461
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.253,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.252,0.341,0.452,0.658,0.693,0.066,0.223,0.46
0.253,0.342,0.452,0.659,0.694,0.066,0.223,0.461
0.253,0.341,0.452,0.658,0.694,0.066,0.223,0.461
0.253,0.341,0.452,0.658,0.694,0.066,0.223,0.461
0.253,0.341,0.452,0.659,0.694,0.066,0.223,0.461
0.253,0.341,0.452,0.659,0.694,0.066,0.223,0.461
0.252,0.342,0.452,0.659,0.694,0.066,0.223,0.461
0.253,0.342,0.452,0.659,0.694,0.066,0.223,0.461
0.253,0.342,0.452,0.659,0.694,0.066,0.223,0.461
0.253,0.342,0.452,0.659,0.694,0.066,0.223,0.461
0.253,0.342,0.452,0.659,0.694,0.066,0.223,0.461
0.253,0.342,0.452,0.659,0.694,0.066,0.223,0.461
0.253,0.342,0.452,0.66,0.694,0.066,0.223,0.461
0.253,0.342,0.452,0.66,0.694,0.066,0.223,0.461
0.253,0.342,0.452,0.66,0.695,0.066,0.223,0.462
0.253,0.342,0.452,0.661,0.695,0.066,0.223,0.462
0.253,0.342,0.452,0.661,0.695,0.066,0.223,0.462
0.253,0.342,0.452,0.662,0.695,0.066,0.223,0.462
0.253,0.342,0.452,0.662,0.695,0.066,0.223,0.463
0.253,0.342,0.452,0.663,0.696,0.066,0.223,0.463
0.253,0.342,0.452,0.663,0.696,0.066,0.223,0.464
0.253,0.342,0.452,0.664,0.696,0.066,0.223,0.464
0.253,0.342,0.452,0.664,0.696,0.066,0.223,0.465
0.253,0.342,0.452,0.665,0.697,0.066,0.223,0.465
0.253,0.343,0.452,0.665,0.697,0.066,0.223,0.466
0.253,0.343,0.452,0.666,0.698,0.066,0.223,0.466
0.253,0.343,0.452,0.667,0.698,0.066,0.223,0.467
0.253,0.343,0.453,0.667,0.698,0.066,0.223,0.468
0.253,0.343,0.452,0.668,0.699,0.066,0.223,0.468
0.253,0.343,0.452,0.669,0.699,0.066,0.223,0.469
0.253,0.344,0.452,0.669,0.699,0.066,0.223,0.469
