S1_D0801,S2_D0801,S3_D0801,S4_D0801,S5_D0801,S6_D0801,S7_D0801,S8_D0801
0.161,0.251,0.407,0.318,0.366,0.069,0.179,0.216
0.161,0.252,0.407,0.318,0.366,0.069,0.179,0.216
0.161,0.251,0.407,0.318,0.366,0.069,0.179,0.216
0.161,0.251,0.407,0.318,0.366,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.366,0.069,0.179,0.216
0.161,0.252,0.407,0.318,0.366,0.069,0.179,0.216
0.161,0.252,0.407,0.318,0.366,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.366,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.366,0.069,0.179,0.216
0.161,0.251,0.406,0.318,0.366,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.216
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.366,0.069,0.179,0.216
0.161,0.251,0.406,0.318,0.366,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.366,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.366,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.406,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.317,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.317,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.317,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.317,0.365,0.069,0.178,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.178,0.215
0.161,0.251,0.405,0.317,0.365,0.069,0.178,0.215
0.161,0.251,0.405,0.317,0.365,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.365,0.069,0.179,0.215
0.161,0.251,0.405,0.318,0.365,0.069,0.178,0.215
0.161,0.251,0.405,0.317,0.365,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.365,0.069,0.178,0.215
0.161,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.161,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.365,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.404,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.316,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.316,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.317,0.364,0.069,0.178,0.215
0.16,0.251,0.403,0.316,0.364,0.069,0.178,0.215
0.16,0.251,0.402,0.316,0.364,0.069,0.178,0.215
0.16,0.251,0.402,0.316,0.364,0.069,0.178,0.215
0.16,0.251,0.402,0.316,0.364,0.069,0.178,0.215
0.16,0.251,0.402,0.316,0.364,0.069,0.178,0.215
0.16,0.251,0.402,0.316,0.363,0.069,0.178,0.214
0.16,0.251,0.402,0.316,0.363,0.069,0.178,0.214
0.16,0.251,0.402,0.316,0.363,0.069,0.178,0.214
0.16,0.251,0.402,0.316,0.364,0.069,0.178,0.215
0.16,0.251,0.402,0.316,0.364,0.069,0.178,0.214
0.16,0.251,0.402,0.316,0.363,0.069,0.178,0.215
0.16,0.251,0.402,0.316,0.363,0.069,0.178,0.215
0.16,0.251,0.402,0.316,0.363,0.069,0.178,0.214
0.16,0.251,0.402,0.316,0.363,0.069,0.178,0.214
0.16,0.251,0.402,0.316,0.363,0.069,0.178,0.214
0.16,0.251,0.402,0.316,0.363,0.069,0.178,0.214
0.16,0.251,0.402,0.316,0.363,0.069,0.178,0.214
0.16,0.251,0.402,0.316,0.363,0.069,0.178,0.215
0.16,0.252,0.402,0.317,0.363,0.069,0.178,0.215
0.16,0.252,0.402,0.317,0.363,0.069,0.178,0.214
0.16,0.252,0.402,0.317,0.364,0.069,0.178,0.215
0.16,0.252,0.402,0.317,0.364,0.069,0.177,0.215
0.16,0.252,0.402,0.317,0.364,0.069,0.178,0.215
0.16,0.252,0.402,0.317,0.364,0.069,0.178,0.215
0.16,0.252,0.402,0.317,0.364,0.069,0.178,0.215
0.16,0.253,0.402,0.317,0.364,0.069,0.178,0.215
0.16,0.253,0.402,0.318,0.364,0.069,0.177,0.215
0.16,0.253,0.402,0.318,0.364,0.069,0.178,0.215
0.16,0.253,0.402,0.318,0.364,0.069,0.178,0.216
0.16,0.253,0.402,0.318,0.364,0.069,0.177,0.216
0.16,0.254,0.402,0.318,0.364,0.069,0.178,0.216
0.16,0.254,0.401,0.318,0.365,0.069,0.177,0.216
0.16,0.254,0.402,0.319,0.365,0.069,0.178,0.216
0.16,0.254,0.402,0.319,0.365,0.069,0.177,0.216
0.16,0.255,0.402,0.319,0.365,0.069,0.178,0.217
0.16,0.255,0.402,0.319,0.365,0.069,0.177,0.217
0.16,0.255,0.402,0.32,0.366,0.069,0.177,0.217
0.16,0.255,0.401,0.32,0.366,0.069,0.177,0.218
0.16,0.256,0.401,0.32,0.366,0.069,0.177,0.218
0.16,0.256,0.401,0.32,0.366,0.069,0.178,0.218
0.16,0.256,0.401,0.321,0.366,0.069,0.177,0.219
0.16,0.256,0.401,0.321,0.367,0.069,0.177,0.219
0.16,0.257,0.401,0.321,0.367,0.069,0.177,0.219
0.16,0.257,0.401,0.322,0.367,0.069,0.177,0.219
0.16,0.257,0.401,0.322,0.367,0.069,0.177,0.22
0.16,0.258,0.401,0.322,0.368,0.069,0.177,0.22
0.16,0.258,0.401,0.323,0.368,0.069,0.178,0.221
0.16,0.258,0.401,0.323,0.368,0.069,0.177,0.221
0.16,0.258,0.401,0.323,0.368,0.069,0.177,0.221
0.16,0.259,0.401,0.324,0.369,0.069,0.177,0.222
0.16,0.259,0.401,0.324,0.369,0.069,0.177,0.222
0.16,0.259,0.401,0.324,0.369,0.069,0.177,0.222
0.16,0.26,0.401,0.325,0.369,0.069,0.177,0.223
0.16,0.26,0.401,0.325,0.37,0.069,0.177,0.223
0.16,0.26,0.401,0.326,0.37,0.069,0.177,0.224
0.16,0.26,0.401,0.326,0.37,0.069,0.177,0.224
0.16,0.261,0.401,0.326,0.371,0.069,0.177,0.224
0.16,0.261,0.401,0.327,0.371,0.069,0.177,0.225
0.16,0.262,0.401,0.327,0.371,0.069,0.177,0.225
0.16,0.262,0.401,0.328,0.371,0.069,0.177,0.225
0.16,0.262,0.401,0.328,0.372,0.069,0.178,0.226
0.16,0.262,0.401,0.328,0.372,0.069,0.177,0.226
0.16,0.263,0.401,0.329,0.372,0.069,0.177,0.227
0.16,0.263,0.401,0.329,0.373,0.069,0.177,0.227
0.16,0.263,0.401,0.33,0.373,0.069,0.177,0.228
0.16,0.264,0.401,0.33,0.373,0.069,0.177,0.228
0.16,0.264,0.401,0.331,0.373,0.069,0.177,0.228
0.16,0.265,0.401,0.331,0.374,0.069,0.177,0.229
0.16,0.265,0.401,0.331,0.374,0.069,0.177,0.229
0.16,0.265,0.401,0.332,0.374,0.069,0.177,0.23
0.16,0.265,0.401,0.332,0.375,0.069,0.177,0.23
0.16,0.266,0.401,0.333,0.375,0.069,0.177,0.23
0.16,0.266,0.401,0.333,0.375,0.069,0.177,0.231
0.16,0.266,0.401,0.334,0.376,0.069,0.177,0.231
0.16,0.267,0.401,0.334,0.376,0.069,0.177,0.232
0.16,0.267,0.401,0.334,0.376,0.069,0.177,0.232
0.16,0.267,0.401,0.335,0.376,0.069,0.177,0.233
0.16,0.268,0.401,0.336,0.377,0.069,0.177,0.233
0.16,0.268,0.401,0.336,0.377,0.069,0.177,0.233
0.16,0.268,0.401,0.336,0.377,0.069,0.177,0.234
0.16,0.269,0.401,0.337,0.378,0.069,0.177,0.234
0.16,0.269,0.401,0.337,0.378,0.069,0.177,0.235
0.16,0.27,0.401,0.338,0.378,0.069,0.177,0.235
0.16,0.27,0.401,0.338,0.379,0.069,0.177,0.236
0.16,0.27,0.401,0.339,0.379,0.069,0.177,0.236
0.16,0.27,0.401,0.339,0.379,0.069,0.177,0.237
0.16,0.271,0.401,0.34,0.38,0.069,0.177,0.237
0.16,0.271,0.401,0.34,0.38,0.069,0.177,0.237
0.16,0.271,0.401,0.341,0.38,0.069,0.177,0.238
0.161,0.272,0.401,0.341,0.38,0.069,0.177,0.238
0.161,0.272,0.401,0.342,0.381,0.07,0.177,0.238
0.161,0.272,0.401,0.342,0.381,0.07,0.177,0.239
0.161,0.273,0.401,0.343,0.381,0.069,0.177,0.239
0.161,0.273,0.401,0.343,0.382,0.069,0.177,0.24
0.161,0.273,0.401,0.344,0.382,0.069,0.177,0.24
0.161,0.274,0.401,0.344,0.382,0.069,0.177,0.24
0.161,0.274,0.401,0.344,0.383,0.069,0.177,0.241
0.161,0.274,0.401,0.345,0.383,0.07,0.177,0.241
0.161,0.275,0.401,0.346,0.383,0.069,0.177,0.242
0.161,0.275,0.401,0.346,0.384,0.069,0.177,0.242
0.161,0.275,0.401,0.346,0.384,0.07,0.177,0.242
0.161,0.276,0.401,0.347,0.384,0.07,0.177,0.243
0.161,0.276,0.401,0.347,0.385,0.069,0.177,0.243
0.161,0.277,0.401,0.348,0.385,0.07,0.177,0.243
0.161,0.277,0.401,0.348,0.385,0.069,0.177,0.244
0.161,0.277,0.401,0.349,0.386,0.07,0.177,0.244
0.161,0.278,0.401,0.349,0.386,0.07,0.177,0.245
0.161,0.278,0.401,0.35,0.386,0.07,0.177,0.245
0.161,0.278,0.401,0.35,0.387,0.07,0.177,0.245
0.161,0.279,0.401,0.351,0.387,0.07,0.177,0.246
0.161,0.279,0.401,0.351,0.387,0.07,0.177,0.246
0.161,0.279,0.401,0.352,0.388,0.07,0.177,0.247
0.161,0.28,0.401,0.352,0.388,0.07,0.177,0.247
0.161,0.28,0.401,0.353,0.388,0.07,0.177,0.247
0.161,0.28,0.401,0.353,0.388,0.07,0.177,0.247
0.161,0.281,0.401,0.354,0.389,0.07,0.177,0.248
0.162,0.281,0.401,0.354,0.389,0.07,0.177,0.248
0.162,0.281,0.401,0.355,0.389,0.07,0.177,0.249
0.162,0.282,0.401,0.355,0.39,0.07,0.177,0.249
0.162,0.282,0.401,0.355,0.39,0.07,0.177,0.249
0.162,0.282,0.402,0.356,0.39,0.07,0.177,0.25
0.162,0.283,0.402,0.356,0.391,0.07,0.177,0.25
0.162,0.283,0.402,0.357,0.391,0.07,0.177,0.25
0.162,0.284,0.402,0.357,0.391,0.07,0.177,0.251
0.162,0.284,0.401,0.358,0.392,0.07,0.177,0.251
0.162,0.284,0.402,0.358,0.392,0.07,0.177,0.251
0.162,0.284,0.402,0.359,0.392,0.07,0.177,0.252
0.162,0.285,0.402,0.359,0.393,0.07,0.177,0.252
0.162,0.285,0.402,0.359,0.393,0.07,0.177,0.252
0.162,0.285,0.402,0.36,0.393,0.07,0.177,0.253
0.162,0.286,0.402,0.36,0.394,0.07,0.177,0.253
0.162,0.286,0.402,0.36,0.394,0.07,0.177,0.253
0.162,0.287,0.402,0.361,0.394,0.07,0.177,0.254
0.162,0.287,0.402,0.361,0.394,0.07,0.178,0.254
0.162,0.287,0.402,0.362,0.395,0.07,0.177,0.254
0.162,0.288,0.402,0.362,0.395,0.07,0.177,0.254
0.162,0.288,0.402,0.363,0.395,0.07,0.177,0.255
0.162,0.288,0.402,0.364,0.396,0.07,0.177,0.255
0.162,0.289,0.402,0.364,0.396,0.07,0.177,0.256
0.162,0.289,0.402,0.365,0.397,0.07,0.178,0.256
0.162,0.289,0.402,0.365,0.397,0.07,0.177,0.256
0.163,0.29,0.402,0.366,0.397,0.07,0.177,0.256
0.163,0.29,0.402,0.367,0.398,0.07,0.177,0.257
0.163,0.291,0.402,0.367,0.398,0.07,0.178,0.257
0.163,0.291,0.402,0.368,0.399,0.07,0.178,0.257
0.163,0.291,0.402,0.369,0.399,0.07,0.177,0.258
0.163,0.292,0.402,0.369,0.399,0.07,0.177,0.258
0.163,0.293,0.402,0.37,0.4,0.07,0.178,0.258
0.163,0.294,0.402,0.37,0.4,0.071,0.178,0.259
0.163,0.295,0.402,0.371,0.401,0.07,0.178,0.259
0.163,0.296,0.402,0.372,0.401,0.07,0.178,0.26
0.163,0.297,0.402,0.372,0.401,0.07,0.178,0.26
0.163,0.298,0.402,0.373,0.402,0.071,0.177,0.26
0.163,0.299,0.402,0.373,0.402,0.07,0.178,0.261
0.163,0.3,0.402,0.374,0.402,0.071,0.178,0.261
0.163,0.301,0.402,0.374,0.403,0.071,0.178,0.261
0.163,0.302,0.403,0.375,0.403,0.071,0.178,0.262
0.163,0.303,0.403,0.375,0.403,0.071,0.178,0.262
0.163,0.305,0.403,0.376,0.404,0.071,0.178,0.263
0.164,0.306,0.403,0.376,0.404,0.071,0.178,0.263
0.164,0.307,0.403,0.377,0.405,0.071,0.178,0.264
0.164,0.309,0.403,0.378,0.405,0.071,0.178,0.265
0.164,0.311,0.403,0.379,0.406,0.071,0.178,0.266
0.164,0.314,0.403,0.38,0.406,0.071,0.178,0.267
0.164,0.317,0.403,0.381,0.407,0.071,0.178,0.268
0.164,0.321,0.403,0.382,0.407,0.071,0.178,0.269
0.164,0.325,0.404,0.385,0.408,0.071,0.178,0.27
0.164,0.329,0.404,0.387,0.408,0.071,0.178,0.271
0.164,0.334,0.404,0.387,0.409,0.071,0.178,0.272
0.164,0.338,0.404,0.396,0.41,0.071,0.178,0.274
0.164,0.344,0.405,0.405,0.411,0.071,0.178,0.277
0.164,0.352,0.405,0.423,0.414,0.071,0.178,0.286
0.164,0.367,0.406,0.441,0.424,0.071,0.179,0.304
0.164,0.386,0.406,0.454,0.442,0.072,0.179,0.325
0.165,0.416,0.407,0.467,0.458,0.072,0.18,0.342
0.165,0.449,0.408,0.478,0.474,0.073,0.181,0.356
0.165,0.48,0.409,0.49,0.491,0.074,0.181,0.369
0.166,0.509,0.41,0.5,0.508,0.075,0.181,0.382
0.167,0.539,0.411,0.509,0.525,0.076,0.182,0.393
0.167,0.571,0.413,0.517,0.539,0.077,0.182,0.403
0.168,0.6,0.414,0.526,0.551,0.078,0.183,0.412
0.168,0.625,0.416,0.534,0.563,0.079,0.183,0.421
0.169,0.647,0.417,0.543,0.574,0.08,0.183,0.429
0.169,0.667,0.418,0.552,0.584,0.081,0.184,0.436
0.17,0.685,0.42,0.559,0.594,0.082,0.184,0.444
0.17,0.701,0.421,0.566,0.603,0.082,0.184,0.45
0.171,0.716,0.422,0.572,0.611,0.083,0.185,0.457
0.171,0.73,0.424,0.578,0.62,0.084,0.185,0.464
0.172,0.742,0.425,0.585,0.628,0.085,0.186,0.469
0.172,0.754,0.426,0.591,0.635,0.086,0.186,0.475
0.173,0.766,0.427,0.599,0.642,0.086,0.186,0.481
0.173,0.777,0.429,0.605,0.649,0.087,0.187,0.487
0.174,0.789,0.43,0.612,0.656,0.088,0.187,0.492
0.174,0.8,0.431,0.617,0.662,0.088,0.187,0.497
0.174,0.81,0.433,0.624,0.668,0.089,0.188,0.502
0.175,0.82,0.434,0.631,0.674,0.09,0.188,0.507
0.175,0.83,0.435,0.638,0.68,0.09,0.189,0.511
0.176,0.839,0.437,0.643,0.686,0.091,0.189,0.516
0.176,0.848,0.438,0.65,0.692,0.092,0.189,0.521
0.177,0.857,0.439,0.657,0.697,0.092,0.19,0.525
0.177,0.865,0.44,0.663,0.702,0.093,0.19,0.53
0.177,0.873,0.442,0.669,0.708,0.094,0.19,0.534
0.178,0.881,0.443,0.675,0.713,0.095,0.191,0.539
0.178,0.889,0.444,0.681,0.718,0.095,0.191,0.543
0.179,0.897,0.446,0.686,0.723,0.096,0.192,0.547
0.179,0.904,0.447,0.692,0.728,0.097,0.192,0.551
0.18,0.911,0.448,0.697,0.733,0.097,0.192,0.555
