S1_S0202,S2_S0202,S3_S0202,S4_S0202,S5_S0202,S6_S0202,S7_S0202,S8_S0202
0.346,0.63,0.915,0.807,0.687,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.687,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.687,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.687,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.687,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.687,0.09,0.31,0.411
0.346,0.63,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.687,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.687,0.089,0.31,0.411
0.346,0.629,0.915,0.807,0.687,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.687,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.687,0.09,0.31,0.411
0.346,0.63,0.915,0.807,0.687,0.089,0.31,0.41
0.346,0.629,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.629,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.629,0.915,0.807,0.686,0.089,0.31,0.411
0.346,0.629,0.915,0.807,0.687,0.089,0.31,0.41
0.346,0.629,0.915,0.807,0.687,0.089,0.31,0.411
0.346,0.63,0.915,0.807,0.687,0.089,0.31,0.411
0.346,0.629,0.915,0.807,0.687,0.089,0.31,0.41
0.346,0.629,0.915,0.807,0.686,0.089,0.31,0.41
0.346,0.629,0.915,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.915,0.807,0.686,0.089,0.31,0.41
0.346,0.629,0.915,0.807,0.687,0.089,0.31,0.41
0.346,0.629,0.915,0.807,0.687,0.089,0.31,0.41
0.346,0.629,0.915,0.807,0.686,0.089,0.31,0.41
0.346,0.629,0.915,0.807,0.686,0.089,0.31,0.41
0.346,0.629,0.915,0.807,0.687,0.089,0.31,0.41
0.346,0.629,0.915,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.915,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.915,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.915,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.915,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.915,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.915,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.915,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.915,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.915,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.09,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.807,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.309,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.309,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.09,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.309,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.31,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.309,0.41
0.345,0.629,0.914,0.806,0.686,0.089,0.309,0.41
0.345,0.629,0.913,0.806,0.686,0.089,0.309,0.41
0.345,0.629,0.913,0.806,0.686,0.089,0.309,0.41
0.345,0.628,0.913,0.806,0.686,0.089,0.309,0.41
0.345,0.628,0.913,0.806,0.685,0.089,0.309,0.41
0.345,0.628,0.913,0.806,0.686,0.089,0.309,0.41
0.345,0.628,0.913,0.806,0.686,0.089,0.309,0.41
0.345,0.628,0.913,0.806,0.686,0.089,0.309,0.41
0.345,0.628,0.913,0.806,0.686,0.089,0.31,0.41
0.345,0.628,0.913,0.806,0.686,0.089,0.309,0.41
0.345,0.628,0.913,0.806,0.686,0.089,0.31,0.41
0.345,0.628,0.913,0.806,0.685,0.089,0.309,0.41
0.345,0.628,0.913,0.806,0.686,0.089,0.309,0.41
0.345,0.628,0.913,0.806,0.686,0.089,0.309,0.41
0.345,0.628,0.913,0.806,0.685,0.089,0.31,0.41
0.345,0.628,0.913,0.806,0.685,0.089,0.309,0.41
0.345,0.628,0.913,0.805,0.685,0.089,0.309,0.41
0.345,0.628,0.913,0.805,0.685,0.089,0.309,0.41
0.345,0.628,0.913,0.805,0.685,0.089,0.309,0.41
0.345,0.628,0.913,0.805,0.685,0.089,0.309,0.41
